Src	Eqid	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
ci	11274914	0	"Friday, March 29, 2013 12:37:21 UTC"	35.93	-117.66	2	0.6	24	Central California
ak	10683620	1	"Friday, March 29, 2013 12:19:42 UTC"	60.34	-140.34	1.8	4.4	8	"Southern Yukon Territory, Canada"
us	b000fvkp	5	"Friday, March 29, 2013 12:16:19 UTC"	6.67	-82.63	4.3	21.2	22	south of Panama
ak	10683618	1	"Friday, March 29, 2013 12:05:34 UTC"	60.61	-142.71	1.7	9.5	9	Southern Alaska
nc	71962580	0	"Friday, March 29, 2013 11:54:32 UTC"	36.56	-121.07	1.5	6.5	8	Central California
ci	11274898	0	"Friday, March 29, 2013 11:14:20 UTC"	35.93	-117.67	1.8	0.8	17	Central California
ci	11274890	0	"Friday, March 29, 2013 11:04:43 UTC"	35.93	-117.67	1.2	0.6	15	Central California
ak	10683610	1	"Friday, March 29, 2013 11:00:39 UTC"	63.55	-147.3	1.4	0.1	16	Central Alaska
nc	71962570	1	"Friday, March 29, 2013 10:39:31 UTC"	36.25	-120.82	3	7.4	74	Central California
nc	71962565	1	"Friday, March 29, 2013 10:34:38 UTC"	38.81	-122.82	2.1	2.8	41	Northern California
nn	407794	1	"Friday, March 29, 2013 10:17:08 UTC"	38.57	-118.17	2.5	4.3	49	Nevada
ak	10683601	1	"Friday, March 29, 2013 10:14:57 UTC"	61.59	-148.24	1.5	16.2	13	Southern Alaska
nc	71962540	0	"Friday, March 29, 2013 10:07:32 UTC"	38.83	-122.78	1	2	10	Northern California
ak	10683595	1	"Friday, March 29, 2013 09:33:28 UTC"	63.94	-148.76	1.7	0	22	Central Alaska
ci	11274858	0	"Friday, March 29, 2013 09:19:05 UTC"	32.89	-116.25	1.5	4.9	62	Southern California
hv	60483996	1	"Friday, March 29, 2013 09:17:17 UTC"	19.37	-155.23	1.8	30.7	41	"Island of Hawaii, Hawaii"
ci	11274850	0	"Friday, March 29, 2013 08:59:12 UTC"	33.49	-116.43	1.1	11.5	56	Southern California
ak	10683588	1	"Friday, March 29, 2013 08:55:50 UTC"	63.73	-149.28	1.5	86.1	16	Central Alaska
ci	11274834	0	"Friday, March 29, 2013 08:42:11 UTC"	33.14	-115.65	1.4	1.8	12	Southern California
ci	11274826	0	"Friday, March 29, 2013 08:41:52 UTC"	34.02	-117.1	1.8	18	115	"Greater Los Angeles area, California"
nc	71962490	0	"Friday, March 29, 2013 07:44:10 UTC"	36.79	-121.45	1.2	10.4	10	Central California
ak	10683572	1	"Friday, March 29, 2013 07:33:55 UTC"	62.71	-149.57	1.6	4.3	14	Central Alaska
us	b000fvhe	D	"Friday, March 29, 2013 07:30:58 UTC"	-35.37	-72.74	5.5	14.4	101	"offshore Maule, Chile"
ak	10683564	1	"Friday, March 29, 2013 07:20:30 UTC"	62.3	-149.6	3.1	11.6	53	Central Alaska
ci	11274794	0	"Friday, March 29, 2013 06:57:32 UTC"	36.11	-117.88	1.5	6.5	22	Central California
ak	10683561	1	"Friday, March 29, 2013 06:49:31 UTC"	61.18	-151.76	2.1	94.4	11	Southern Alaska
us	b000fvh5	6	"Friday, March 29, 2013 06:48:58 UTC"	-4.83	154.19	4.4	408.4	104	"Bougainville region, Papua New Guinea"
mb	28757	1	"Friday, March 29, 2013 06:38:45 UTC"	45.32	-112.57	1.2	7.8	6	western Montana
ci	11274786	0	"Friday, March 29, 2013 06:08:33 UTC"	34.09	-116.75	2.3	12	130	Southern California
pr	13088000	0	"Friday, March 29, 2013 06:01:40 UTC"	19.24	-64.76	3.2	67	9	Virgin Islands region
us	b000fvgf	9	"Friday, March 29, 2013 06:01:05 UTC"	-4.81	151.63	5	139	72	"New Britain region, Papua New Guinea"
us	b000fvgb	7	"Friday, March 29, 2013 05:42:28 UTC"	51.07	157.36	4.3	78.2	97	"near the east coast of the Kamchatka Peninsula, Russia"
ak	10683544	1	"Friday, March 29, 2013 05:37:45 UTC"	62.8	-149.84	2	106.6	9	Central Alaska
nn	407781	1	"Friday, March 29, 2013 05:28:02 UTC"	36.21	-116.24	1.1	7	16	Central California
nc	71962450	1	"Friday, March 29, 2013 05:06:14 UTC"	36.41	-120.99	2.3	7.3	37	Central California
us	b000fvfx	A	"Friday, March 29, 2013 05:01:11 UTC"	43.46	86.83	5.6	35.9	87	"northern Xinjiang, China"
ak	10683532	1	"Friday, March 29, 2013 04:57:52 UTC"	62.1	-148.08	1.4	43.1	6	Central Alaska
nc	71962435	0	"Friday, March 29, 2013 04:10:31 UTC"	38.81	-122.82	1	3	14	Northern California
ak	10683523	1	"Friday, March 29, 2013 04:07:15 UTC"	63.16	-150.7	2.3	129.3	33	Central Alaska
us	b000fvfg	8	"Friday, March 29, 2013 03:46:00 UTC"	-29.34	-69.4	4.6	99.5	153	"San Juan, Argentina"
uw	60512847	1	"Friday, March 29, 2013 03:45:47 UTC"	48.27	-124.79	1.5	24.9	14	offshore Washington
nn	407778	1	"Friday, March 29, 2013 03:39:30 UTC"	38.01	-118.07	1.7	13.4	30	Nevada
nc	71962420	0	"Friday, March 29, 2013 03:31:16 UTC"	35.72	-121.11	1.5	6.6	12	Central California
ak	10683518	1	"Friday, March 29, 2013 03:14:32 UTC"	61.41	-151.55	2	92	10	Southern Alaska
hv	60483871	1	"Friday, March 29, 2013 02:43:13 UTC"	19.39	-155.47	1.8	9.6	36	"Island of Hawaii, Hawaii"
ci	11274746	0	"Friday, March 29, 2013 02:41:04 UTC"	33.49	-116.43	2	8	107	Southern California
ak	10683508	1	"Friday, March 29, 2013 02:33:25 UTC"	60.93	-150.73	1.7	13.8	7	"Kenai Peninsula, Alaska"
nc	71962390	1	"Friday, March 29, 2013 02:31:04 UTC"	38.81	-122.82	1.1	2.6	24	Northern California
ak	10683500	1	"Friday, March 29, 2013 02:01:08 UTC"	61.4	-140.5	1.8	0	10	"Southern Yukon Territory, Canada"
hv	60483851	2	"Friday, March 29, 2013 01:52:17 UTC"	19.46	-155.46	1.9	7.8	35	"Island of Hawaii, Hawaii"
ak	10683494	1	"Friday, March 29, 2013 01:42:29 UTC"	62.24	-149.92	1.6	5.9	6	Central Alaska
